date,indiv_net_kospi,indiv_net_kosdaq,indiv_net_total,inst_net_kospi,inst_net_kosdaq,inst_net_total,foreign_net_kospi,foreign_net_kosdaq,foreign_net_total
2026-02-05,6614138.800000003,855954.1000000006,7486066.170000007,-2077862.8799999973,-529766.999999999,-2608943.960000002,-4860006.510000012,-234563.34000000014,-5109508.990000003
2026-02-06,2139842.6099999985,156209.6999999999,2310035.859999997,944797.0299999997,-160872.18999999983,778374.3099999994,-3293071.7599999965,62171.94999999999,-3235207.999999992
2026-02-09,-3348257.5300000035,-611677.5600000004,-3954301.5000000056,2713776.6200000024,488456.82000000024,3199656.1399999997,496948.7000000001,217484.5899999999,712667.9300000017
2026-02-10,-837136.9200000005,335401.7099999994,-497718.8599999997,569738.5699999997,-80028.08000000012,490510.0100000007,99715.76000000001,-216286.16000000038,-121451.17999999966
2026-02-11,-1583175.059999998,-50398.400000000125,-1631743.279999998,712189.8399999996,60445.35999999997,774367.6900000003,704149.4199999998,15099.48999999998,715038.8299999994
2026-02-12,-4175930.859999998,99950.34000000014,-4077249.5400000038,1335329.7100000028,96866.83999999985,1434345.6100000034,2770532.2200000007,-121241.61000000009,2650001.5999999987
2026-02-13,779716.5699999996,585223.7100000001,1366256.3000000024,42147.21999999999,-342147.94999999966,-304211.12000000005,-952092.319999999,-206112.46,-1155139.859999995
2026-02-19,-962086.9399999998,-1797396.1599999974,-2756316.970000001,1613185.3500000006,1055629.2999999996,2662576.339999999,-782169.6600000013,816978.5100000005,37516.72999999988
2026-02-20,-1044364.7100000023,215545.03000000006,-833479.6599999988,1585744.9600000049,26716.309999999983,1608395.750000004,-664644.0100000006,-192808.41999999995,-843776.7300000001
2026-02-23,1090118.310000001,233891.2999999998,1199080.040000003,-299322.77,-355866.2199999996,-497660.9199999995,-957659.5700000009,161673.93999999994,-818140.6000000007
