code,name,sector
058470,리노공업,반도체와반도체장비
200710,에이디테크놀로지,반도체와반도체장비
032580,피델릭스,반도체와반도체장비
083310,엘오티베큠,반도체와반도체장비
319660,피에스케이,반도체와반도체장비
059120,아진엑스텍,반도체와반도체장비
183300,코미코,반도체와반도체장비
053610,프로텍,반도체와반도체장비
029460,케이씨,반도체와반도체장비
254490,미래반도체,반도체와반도체장비
000660,SK하이닉스,반도체와반도체장비
059090,미코,반도체와반도체장비
451220,아이엠티,반도체와반도체장비
092070,디엔에프,반도체와반도체장비
142210,유니트론텍,반도체와반도체장비
226590,엠디바이스,반도체와반도체장비
003160,디아이,반도체와반도체장비
094170,동운아나텍,반도체와반도체장비
232680,라온로보틱스,반도체와반도체장비
217500,러셀,반도체와반도체장비
144960,뉴파워프라즈마,반도체와반도체장비
417500,제이아이테크,반도체와반도체장비
147760,피엠티,반도체와반도체장비
402490,그린리소스,반도체와반도체장비
172670,에이엘티,반도체와반도체장비
490470,세미파이브,반도체와반도체장비
092220,KEC,반도체와반도체장비
272110,케이엔제이,반도체와반도체장비
006200,한국전자홀딩스,반도체와반도체장비
432720,퀄리타스반도체,반도체와반도체장비
045100,한양이엔지,반도체와반도체장비
489500,엘케이켐,반도체와반도체장비
005930,삼성전자,반도체와반도체장비
077500,유니퀘스트,반도체와반도체장비
160980,싸이맥스,반도체와반도체장비
425040,티이엠씨,반도체와반도체장비
102710,이엔에프테크놀로지,반도체와반도체장비
114810,한솔아이원스,반도체와반도체장비
445090,에이직랜드,반도체와반도체장비
355150,코스텍시스,반도체와반도체장비
078350,한양디지텍,반도체와반도체장비
089030,테크윙,반도체와반도체장비
464500,아이언디바이스,반도체와반도체장비
000990,DB하이텍,반도체와반도체장비
074600,원익QnC,반도체와반도체장비
264660,씨앤지하이테크,반도체와반도체장비
052860,아이앤씨,반도체와반도체장비
101490,에스앤에스텍,반도체와반도체장비
101160,월덱스,반도체와반도체장비
052900,KX하이텍,반도체와반도체장비
066310,큐에스아이,반도체와반도체장비
212710,아이에스티이,반도체와반도체장비
082270,젬백스,반도체와반도체장비
039440,에스티아이,반도체와반도체장비
089970,브이엠,반도체와반도체장비
322310,오로스테크놀로지,반도체와반도체장비
357780,솔브레인,반도체와반도체장비
217190,제너셈,반도체와반도체장비
025560,미래산업,반도체와반도체장비
394280,오픈엣지테크놀로지,반도체와반도체장비
036710,심텍홀딩스,반도체와반도체장비
102120,어보브반도체,반도체와반도체장비
011930,신성이엔지,반도체와반도체장비
054450,텔레칩스,반도체와반도체장비
036200,유니셈,반도체와반도체장비
041520,이엘씨,반도체와반도체장비
253590,네오셈,반도체와반도체장비
064520,테크엘,반도체와반도체장비
119830,아이텍,반도체와반도체장비
420770,기가비스,반도체와반도체장비
110990,디아이티,반도체와반도체장비
005290,동진쎄미켐,반도체와반도체장비
418420,라온텍,반도체와반도체장비
306620,지아이에스,반도체와반도체장비
403870,HPSP,반도체와반도체장비
093520,매커스,반도체와반도체장비
045300,성우테크론,반도체와반도체장비
122640,예스티,반도체와반도체장비
140070,서플러스글로벌,반도체와반도체장비
087600,픽셀플러스,반도체와반도체장비
417840,저스템,반도체와반도체장비
061970,LB세미콘,반도체와반도체장비
105330,케이엔더블유,반도체와반도체장비
112290,와이씨켐,반도체와반도체장비
146320,비씨엔씨,반도체와반도체장비
117670,알파칩스,반도체와반도체장비
348350,위드텍,반도체와반도체장비
166090,하나머티리얼즈,반도체와반도체장비
234030,싸이닉솔루션,반도체와반도체장비
195870,해성디에스,반도체와반도체장비
171010,램테크놀러지,반도체와반도체장비
080520,오디텍,반도체와반도체장비
396470,워트,반도체와반도체장비
067310,하나마이크론,반도체와반도체장비
033170,시그네틱스,반도체와반도체장비
080580,오킨스전자,반도체와반도체장비
219130,타이거일렉,반도체와반도체장비
445180,퓨릿,반도체와반도체장비
169670,코스텍시스템,반도체와반도체장비
429270,시지트로닉스,반도체와반도체장비
227950,엔투텍,반도체와반도체장비
033640,네패스,반도체와반도체장비
036810,에프에스티,반도체와반도체장비
241790,티이엠씨씨엔에스,반도체와반도체장비
330860,네패스아크,반도체와반도체장비
365590,하이딥,반도체와반도체장비
232140,와이씨,반도체와반도체장비
036540,SFA반도체,반도체와반도체장비
054940,엑사이엔씨,반도체와반도체장비
097800,윈팩,반도체와반도체장비
950250,테라뷰,반도체와반도체장비
131970,두산테스나,반도체와반도체장비
241770,메카로,반도체와반도체장비
356860,티엘비,반도체와반도체장비
136660,큐엠씨,반도체와반도체장비
452160,제이엔비,반도체와반도체장비
086390,유니테스트,반도체와반도체장비
149010,아이케이세미콘,반도체와반도체장비
200470,에이팩트,반도체와반도체장비
317330,덕산테코피아,반도체와반도체장비
101400,엔시트론,반도체와반도체장비
412350,레이저쎌,반도체와반도체장비
089790,제이티,반도체와반도체장비
413300,티엘엔지니어링,반도체와반도체장비
017670,SK텔레콤,무선통신서비스
065530,와이어블,무선통신서비스
006490,프리티,무선통신서비스
032640,LG유플러스,무선통신서비스
020120,키다리스튜디오,양방향미디어와서비스
134580,탑코미디어,양방향미디어와서비스
317530,에피소드컴퍼니,양방향미디어와서비스
035420,NAVER,양방향미디어와서비스
300080,플리토,양방향미디어와서비스
035720,카카오,양방향미디어와서비스
214270,FSN,양방향미디어와서비스
376300,디어유,양방향미디어와서비스
067160,SOOP,양방향미디어와서비스
202960,판도라티비,양방향미디어와서비스
289220,자이언트스텝,양방향미디어와서비스
089230,THE E&M,양방향미디어와서비스
417180,핑거스토리,양방향미디어와서비스
443250,레뷰코퍼레이션,양방향미디어와서비스
408920,메쎄이상,양방향미디어와서비스
207760,미스터블루,양방향미디어와서비스
066830,제노텍,생물공학
087010,펩트론,생물공학
476830,알지노믹스,생물공학
199800,툴젠,생물공학
358570,지아이이노베이션,생물공학
174900,앱클론,생물공학
298380,에이비엘바이오,생물공학
166480,코아스템켐온,생물공학
446440,에피바이오텍,생물공학
217730,강스템바이오텍,생물공학
196300,HLB펩,생물공학
092040,아미코젠,생물공학
078160,메디포스트,생물공학
338840,와이바이오로직스,생물공학
185490,아이진,생물공학
348080,큐라티스,생물공학
084990,헬릭스미스,생물공학
196170,알테오젠,생물공학
304360,에스바이오메딕스,생물공학
187420,HLB제넥스,생물공학
388870,파로스아이바이오,생물공학
251120,바이오에프디엔씨,생물공학
145020,휴젤,생물공학
064550,바이오니아,생물공학
347850,디앤디파마텍,생물공학
476040,오가노이드사이언스,생물공학
331920,셀레믹스,생물공학
206650,유바이오로직스,생물공학
950160,코오롱티슈진,생물공학
086820,바이오솔루션,생물공학
054050,NH농우바이오,생물공학
388610,지에프씨생명과학,생물공학
222110,팬젠,생물공학
246710,티앤알바이오팹,생물공학
086900,메디톡스,생물공학
299660,셀리드,생물공학
191420,테고사이언스,생물공학
007390,네이처셀,생물공학
109820,진매트릭스,생물공학
154030,아시아종묘,생물공학
002630,오리엔트바이오,생물공학
263050,유틸렉스,생물공학
468530,프로티나,생물공학
372320,큐로셀,생물공학
352770,셀레스트라,생물공학
216400,인바이츠바이오코아,생물공학
322970,무진메디,생물공학
011000,진원생명과학,생물공학
464490,쿼드메디슨,생물공학
038070,서린바이오,생물공학
049960,쎌바이오텍,생물공학
215570,크로넥스,생물공학
298060,풍전약품,생물공학
067370,선바이오,생물공학
373110,엑셀세라퓨틱스,생물공학
389030,지니너스,생물공학
950260,인제니아테라퓨틱스(Reg.S),생물공학
095700,제넥신,생물공학
290550,디케이티,핸드셋
179900,유티아이,핸드셋
052710,아모텍,핸드셋
079190,케스피온,핸드셋
049630,재영솔루텍,핸드셋
357580,아모센스,핸드셋
190510,나무가,핸드셋
070300,퀀텀레일,핸드셋
060720,KH바텍,핸드셋
204270,제이앤티씨,핸드셋
054210,이랜텍,핸드셋
332570,PS일렉트로닉스,핸드셋
263600,덕우전자,핸드셋
238090,앤디포스,핸드셋
060540,에스에이티,핸드셋
192650,드림텍,핸드셋
047310,파워로직스,핸드셋
049070,인탑스,핸드셋
192440,슈피겐코리아,핸드셋
148150,세경하이테크,핸드셋
050110,캠시스,핸드셋
025320,시노펙스,핸드셋
208710,포톤,핸드셋
061040,알에프텍,핸드셋
122990,와이솔,핸드셋
081580,성우전자,핸드셋
076610,해성옵틱스,핸드셋
441270,파인엠텍,핸드셋
373200,엑스플러스,핸드셋
065130,탑엔지니어링,핸드셋
096630,에스코넥,핸드셋
285490,노바텍,핸드셋
091700,파트론,핸드셋
093920,서원인텍,핸드셋
049520,유아이엘,핸드셋
258610,케일럼,핸드셋
198080,캐프,핸드셋
097520,엠씨넥스,핸드셋
073570,리튬포어스,핸드셋
065680,우주일렉트로,핸드셋
123010,MSDI,핸드셋
290740,액트로,핸드셋
115610,이미지스,핸드셋
196450,코아시아씨엠,핸드셋
106080,케이이엠텍,핸드셋
088280,쏘닉스,핸드셋
271830,팸텍,핸드셋
091120,이엠텍,핸드셋
126700,하이비젼시스템,핸드셋
376290,씨유테크,핸드셋
193250,링크드,핸드셋
187270,신화콘텍,핸드셋
066670,디티씨,핸드셋
459550,알트,핸드셋
000670,영풍,핸드셋
459100,위츠,핸드셋
045970,코아시아,핸드셋
048770,TPC로보틱스,기계
108490,로보티즈,기계
199430,케이엔알시스템,기계
114920,대주이엔티,기계
474650,링크솔루션,기계
160190,하이젠알앤엠,기계
015590,DKME,기계
389500,에스비비테크,기계
003010,혜인,기계
090360,로보스타,기계
466100,클로봇,기계
459510,나우로보틱스,기계
109860,동일금속,기계
348340,뉴로메카,기계
056080,유진로봇,기계
484810,티엑스알로보틱스,기계
101170,우림피티에스,기계
049430,코메론,기계
129920,대성하이텍,기계
475400,씨메스로보틱스,기계
019210,와이지-원,기계
108230,톱텍,기계
381620,제닉스로보틱스,기계
010660,화천기계,기계
277810,레인보우로보틱스,기계
452280,한선엔지니어링,기계
002900,TYM,기계
007820,엠엑스로보틱스,기계
117730,티로보틱스,기계
417970,모델솔루션,기계
319400,현대무벡스,기계
388720,유일로보틱스,기계
282880,코윈테크,기계
090710,휴림로봇,기계
267270,HD건설기계,기계
454910,두산로보틱스,기계
439960,코스모로보틱스,기계
059270,해성에어로보틱스,기계
053160,프리엠스,기계
140670,알에스오토메이션,기계
297090,씨에스베어링,기계
480370,씨케이솔루션,기계
049800,우진플라임,기계
004380,삼익THK,기계
095190,신화프리텍,기계
251630,브이원텍,기계
138360,앤로보틱스,기계
100660,서암기계공업,기계
000490,대동,기계
159010,아스플로,기계
317830,에스피시스템스,기계
024880,케이피에프,기계
041440,현대에버다임,기계
060310,3S,기계
105840,우진,기계
014620,성광벤드,기계
008830,대동기어,기계
071670,에이테크솔루션,기계
017550,수산세보틱스,기계
023160,태광,기계
011700,한신기계,기계
413630,씨피시스템,기계
008470,부스타,기계
043340,에쎈테크,기계
039610,화성밸브,기계
153890,져스텍,기계
036890,진성티이씨,기계
013030,하이록코리아,기계
138070,신진에스엠,기계
000850,화천기공,기계
317850,대모,기계
053080,케이엔솔,기계
104460,디와이피엔에프,기계
092440,기신정기,기계
051490,나라엠앤디,기계
044780,에이치케이,기계
015230,대창단조,기계
017800,현대엘리베이터,기계
089140,넥스턴앤롤코리아,기계
019990,에너토크,기계
119500,포메탈,기계
010240,흥국,기계
012210,삼미금속,기계
013810,스페코,기계
034020,두산에너빌리티,기계
036560,KZ정밀,기계
043220,티에스넥스젠,기계
068240,다원시스,기계
073640,테라사이언스,기계
074610,이엔플러스,기계
195990,루트K,기계
241560,두산밥캣,기계
496320,본시스템즈,기계
050860,아세아텍,기계
099440,스맥,기계
210540,디와이파워,기계
079900,전진건설로봇,기계
056190,SFA,기계
086670,비엠티,기계
105740,디케이락,기계
033540,파라텍,기계
101680,한국정밀기계,기계
067170,오텍,기계
033240,자화전자,통신장비
061090,세나테크놀로지,통신장비
039010,현대에이치티,통신장비
211270,AP위성,통신장비
487400,케이앤에스아이앤씨,통신장비
321370,센서뷰,통신장비
138080,오이솔루션,통신장비
218410,RFHIC,통신장비
189300,인텔리안테크,통신장비
115440,우리넷,통신장비
073490,LIG아큐버,통신장비
032500,케이엠더블유,통신장비
062970,한국첨단소재,통신장비
388790,라이콤,통신장비
088800,에이스테크,통신장비
215790,이노인스트루먼트,통신장비
230240,에치에프알,통신장비
389020,자람테크놀로지,통신장비
069540,빛과전자,통신장비
050890,쏠리드,통신장비
317120,라닉스,통신장비
035460,기산텔레콤,통신장비
456010,아이씨티케이,통신장비
039560,다산네트웍스,통신장비
489790,한화비전,통신장비
073540,에프알텍,통신장비
109080,옵티시스,통신장비
100590,머큐리,통신장비
