code,name,sector,latest_mktcap,latest_period,latest_is_estimate,latest_yoy,prev_yoy,accel,n_quarters
A053030,바이넥스,제약,196105128000,202612,True,-92.1,1222.9,-1315.0,12
A053210,스카이라이프,방송과엔터테인먼트,190091820000,202609,True,-30.9,-14.3,-16.6,12
A053450,세코닉스,전자장비와기기,44304444985,202609,True,578.8,,,12
A053580,웹케시,소프트웨어,89385608400,202612,True,22.3,-5.9,28.2,12
A053610,프로텍,반도체와반도체장비,658800000000,202612,True,5.0,10.0,-5.0,12
A053690,한미글로벌,건설,244353365000,202612,True,72.2,21.5,50.7,12
A054210,이랜텍,핸드셋,172486052200,202612,True,-32.0,-1.2,-30.8,12
A054450,텔레칩스,반도체와반도체장비,152653868640,202612,True,37.9,,,12
A054950,제이브이엠,건강관리장비와용품,278067516000,202612,True,37.9,17.8,20.1,12
A055550,신한지주,은행,53141767054800,202712,True,24.9,4.7,20.2,16
A056090,시지메드텍,건강관리장비와용품,122878252840,202612,True,145.5,21.2,124.3,12
A056190,SFA,기계,1003649842000,202712,True,9.4,53.2,-43.8,16
A058430,포스코스틸리온,비철금속,277200000000,202612,True,372.3,81.4,290.9,12
A058470,리노공업,반도체와반도체장비,5715888750000,202712,True,33.4,19.6,13.8,16
A058610,에스피지,전기제품,2191123168000,202712,True,30.6,4.8,25.8,16
A058650,세아홀딩스,철강,528397250800,202612,True,102.9,60.6,42.3,12
A059210,메타바이오메드,건강관리장비와용품,100806060950,202612,True,90.6,12.2,78.4,12
A060250,NHN KCP,IT서비스,526505610210,202703,True,-4.2,5.7,-9.9,13
A060280,큐렉소,건강관리장비와용품,327190134700,202612,True,8.4,-41.4,49.8,12
A060370,LS마린솔루션,건설,1731718010100,202712,True,816.9,675.4,141.5,16
A060720,KH바텍,핸드셋,260688636420,202612,True,27.6,-27.7,55.3,12
A060980,HL홀딩스,자동차부품,348849715650,202612,True,-54.9,-7.3,-47.6,12
A061090,세나테크놀로지,통신장비,203939615000,202609,True,142.2,127.7,14.5,10
A062040,산일전기,전기장비,6281784250000,202712,True,31.7,35.4,-3.7,16
A063570,NICE인프라,상업서비스와공급품,110297161440,202612,True,22.8,22.9,-0.1,12
A064290,인텍플러스,반도체와반도체장비,720441336800,202712,True,-38.2,3557.1,-3595.3,16
A064350,현대로템,우주항공과국방,12780562510300,202712,True,34.4,32.5,1.9,16
A064400,LG씨엔에스,IT서비스,6937033876800,202712,True,7.7,-3.4,11.1,16
A064760,티씨케이,반도체와반도체장비,3046390860000,202712,True,20.0,29.9,-9.9,16
A064850,에프앤가이드,IT서비스,212574485160,202612,True,124.9,209.1,-84.2,12
A064960,SNT모티브,자동차부품,675449922400,202612,True,7.2,16.7,-9.5,12
A066570,LG전자,전자제품,35264524127000,202712,True,-41.5,12.2,-53.7,16
A066970,엘앤에프,전기제품,4410382345600,202712,True,55.9,69.4,-13.5,16
A067000,조이시티,게임엔터테인먼트,79829735332,202612,True,306.8,,,12
A067160,SOOP,양방향미디어와서비스,418409518800,202712,True,8.6,12.3,-3.7,16
A067310,하나마이크론,반도체와반도체장비,3035308169850,202712,True,14.1,0.5,13.6,16
A068270,셀트리온,제약,41522165916000,202712,True,14.0,15.8,-1.8,16
A068760,셀트리온제약,제약,1722810481600,202612,True,45.7,11.7,34.0,12
A068930,디지털대성,교육서비스,264853022940,202612,True,-35.0,14.3,-49.3,12
A069080,웹젠,게임엔터테인먼트,344967645500,202612,True,-11.2,-31.0,19.8,12
A069260,TKG휴켐스,화학,660189196200,202612,True,160.4,17.4,143.0,12
A069620,대웅제약,제약,1260619360000,202712,True,61.1,-21.0,82.1,16
A069960,현대백화점,백화점과일반상점,2132769796800,202712,True,27.1,34.6,-7.5,16
A070960,모나용평,"호텔,레스토랑,레저",96170399334,202609,True,37.1,,,12
A071050,한국금융지주,증권,10381752309600,202612,True,60.4,-4.1,64.5,12
A071320,지역난방공사,복합유틸리티,901984157600,202612,True,-13.0,-46.9,33.9,12
A071840,롯데하이마트,전문소매,143062734720,202612,True,-55.4,31.7,-87.1,12
A071970,HD현대마린엔진,조선,1699466899500,202712,True,17.2,21.1,-3.9,16
A073240,금호타이어,자동차부품,1930389128640,202703,True,-4.9,7.8,-12.7,13
A073490,LIG아큐버,통신장비,243323072000,202712,True,-6.6,109.3,-115.9,16
A074600,원익QnC,반도체와반도체장비,753151200000,202712,True,3.1,18.3,-15.2,16
A075580,세진중공업,조선,571905527360,202612,True,-25.0,89.4,-114.4,12
A077360,덕산하이메탈,반도체와반도체장비,587500435860,202612,True,20452.8,645.2,19807.6,12
A077970,STX엔진,조선,915375836400,202712,True,2.5,8.1,-5.6,16
A078340,컴투스,게임엔터테인먼트,423195955000,202712,True,-28.9,38.0,-66.9,16
A078520,에이블씨엔씨,화장품,266110121160,202612,True,31.2,,,12
A078600,대주전자재료,전자장비와기기,1364689592200,202612,True,149.4,78.7,70.7,12
A078930,GS,석유와가스,10274241747000,202612,True,26.6,41.6,-15.0,12
A079160,CJ CGV,방송과엔터테인먼트,867653856280,202612,True,-44.8,96.1,-140.9,12
A079430,현대리바트,가구,113444099280,202609,True,90.0,9.4,80.6,12
A079550,LIG디펜스앤에어로스페이스,우주항공과국방,15488000000000,202712,True,101.2,46.6,54.6,16
A079900,전진건설로봇,기계,612886890000,202612,True,13.9,43.9,-30.0,12
A080160,모두투어,"호텔,레스토랑,레저",158382000000,202612,True,1514.0,,,12
A080580,오킨스전자,반도체와반도체장비,485091965000,202612,True,329.2,126.0,203.2,12
A081660,미스토홀딩스,"섬유,의류,신발,호화품",2004216960000,202612,True,934.4,13.2,921.2,12
A082210,옵트론텍,전자장비와기기,62129837410,202609,True,238.2,260.4,-22.2,12
A082740,한화엔진,조선,4109771743500,202712,True,52.3,73.8,-21.5,16
A082920,비츠로셀,전기제품,1309044833000,202712,True,24.7,30.5,-5.8,16
A083450,GST,반도체와반도체장비,903991500000,202612,True,30.3,24.9,5.4,12
A083500,에프엔에스테크,디스플레이장비및부품,98347503680,202612,True,164.2,55.2,109.0,12
A083650,비에이치아이,에너지장비및서비스,1989723312500,202612,True,40.3,93.4,-53.1,12
A084010,대한제강,철강,274629052040,202609,True,-57.7,125.5,-183.2,12
A084370,유진테크,반도체와반도체장비,3423656674800,202712,True,-8.0,11.4,-19.4,16
A084850,아이티엠반도체,전자장비와기기,183958594740,202603,False,-14.3,2140.3,-2154.6,12
A085620,미래에셋생명,생명보험,2672508600000,202612,True,-31.6,-7.1,-24.5,12
A085910,네오티스,자동차부품,220165295280,202612,True,176.3,109.3,67.0,12
A086280,현대글로비스,항공화물운송과물류,15225000000000,202712,True,6.6,-3.2,9.8,16
A086390,유니테스트,반도체와반도체장비,259738408540,202712,True,86.9,-19.3,106.2,16
A086450,동국제약,제약,927223610000,202612,True,17.7,10.1,7.6,12
A086670,비엠티,기계,186110343750,202612,True,81.4,3.2,78.2,12
