종목명,기준일,수주잔고(백만원),report_nm
에스프리즘,20260515,11741.0,분기보고서 (2026.03)
이건산업,20260515,27691.0,분기보고서 (2026.03)
웨이버스,20260515,25797.203,분기보고서 (2026.03)
덱스터,20260515,10435.405,분기보고서 (2026.03)
한국주강,20260515,28852.726,분기보고서 (2026.03)
케이웨더,20260513,5862.084,분기보고서 (2026.03)
엠아이큐브솔루션,20260515,30620.742,분기보고서 (2026.03)
넥사다이내믹스,20260515,1578.0,분기보고서 (2026.03)
힘스,20260514,43227.0,분기보고서 (2026.03)
에스에너지,20260515,18838.28,분기보고서 (2026.03)
폴라리스우노,20260515,11924.677,분기보고서 (2026.03)
바이브컴퍼니,20260513,7620023.0,분기보고서 (2026.03)
EG,20260514,2057.025,분기보고서 (2026.03)
에스켐,20260514,6665.0,분기보고서 (2026.03)
에프알텍,20260515,29759.0,분기보고서 (2026.03)
인스웨이브,20260515,31529.0,분기보고서 (2026.03)
신도기연,20260515,10829.0,분기보고서 (2026.03)
플래티어,20260515,7412.0,분기보고서 (2026.03)
자이언트스텝,20260515,4800.0,분기보고서 (2026.03)
누리플랜,20260508,36762.0,분기보고서 (2026.03)
에넥스,20260515,113466.0,분기보고서 (2026.03)
케이지에이,20260515,7546.0,분기보고서 (2026.03)
성우테크론,20260515,14457.0,분기보고서 (2026.03)
에스디시스템,20260513,960.679,분기보고서 (2026.03)
앱토크롬,20260514,100.0,분기보고서 (2026.03)
엑사이엔씨,20260514,82748.0,분기보고서 (2026.03)
이노테나,20260515,17450.213,분기보고서 (2026.03)
피앤씨테크,20260515,718.0,분기보고서 (2026.03)
피엔티엠에스,20260513,35500.0,분기보고서 (2026.03)
알톤,20260515,12398.0,분기보고서 (2026.03)
아티스트스튜디오,20260515,41127.593,분기보고서 (2026.03)
라온피플,20260515,39877.0,분기보고서 (2026.03)
에이치케이,20260515,28679.0,분기보고서 (2026.03)
대성미생물,20260515,5321.0,분기보고서 (2026.03)
아즈텍WB,20260515,13182.0,분기보고서 (2026.03)
디티앤씨알오,20260515,51756.226,분기보고서 (2026.03)
인티큐브,20260514,28761.0,분기보고서 (2026.03)
오픈놀,20260513,29769.0,분기보고서 (2026.03)
엠브레인,20260515,16399.0,분기보고서 (2026.03)
이씨에스,20260611,35967.0,사업보고서 (2026.03)
에이루트,20260515,4244.0,분기보고서 (2026.03)
