종목명,연도,분기,매출액,영업이익,영업이익률
두산로보틱스,2025,Q3,10164933789.0,,
두산로보틱스,2025,Q4,13001620525.0,,
두산로보틱스,2026,Q1,15294798751.0,-12069485926.0,-0.7891235525548106
한진,2023,Q1,675050627967.0,23504499380.0,0.034818868994740085
한진,2023,Q2,691852753803.0,35667839384.0,0.051554090358013026
한진,2023,Q3,691884452227.0,33709925753.0,0.048721900953976244
한진,2023,Q4,748740948566.0,29644714729.0,0.03959275205366557
한진,2024,Q1,712161042227.0,23386541313.0,0.03283883830526296
한진,2024,Q2,734209778927.0,36855948767.0,0.05019811752012154
한진,2024,Q3,756573959430.0,39947546354.0,0.052800583282163624
한진,2024,Q4,812534381346.0,-101729854.0,-0.00012520067622428466
한진,2025,Q1,729112019663.0,27317916728.0,0.03746737948529021
한진,2025,Q2,740791671733.0,36997679146.0,0.049943432894497895
한진,2025,Q3,799314362984.0,30821748634.0,0.03856023369696031
한진,2025,Q4,795707136399.0,17058464682.0,0.021438119506127177
한진,2026,Q1,778956182832.0,19842809265.0,0.025473588505143894
LG화학,2023,Q1,14486266000000.0,791025000000.0,0.054605168785386106
LG화학,2023,Q2,14541521000000.0,615559000000.0,0.04233112891010507
LG화학,2023,Q3,13494826000000.0,860426000000.0,0.06375969575302416
LG화학,2023,Q4,13134802000000.0,247427000000.0,0.018837512739057656
LG화학,2024,Q1,11609432000000.0,264631000000.0,0.022794482968675814
LG화학,2024,Q2,12299672000000.0,405860000000.0,0.03299762790422379
LG화학,2024,Q3,12670398000000.0,498356000000.0,0.03933230826687528
LG화학,2024,Q4,12336602000000.0,-252049000000.0,-0.020430990640696686
LG화학,2025,Q1,12171015000000.0,446971000000.0,0.03672421733109359
LG화학,2025,Q2,11417711000000.0,476783000000.0,0.041758194790532006
LG화학,2025,Q3,11196170000000.0,679715000000.0,0.060709599800646115
LG화학,2025,Q4,11197134000000.0,-413264000000.0,-0.036908015926218264
LG화학,2026,Q1,,-49691000000.0,
제이앤티씨,2023,Q1,57295122664.0,2227603313.0,0.03887945796125611
제이앤티씨,2023,Q2,55561095208.0,4064163872.0,0.07314765586936844
제이앤티씨,2023,Q3,97766832620.0,16993879895.0,0.17382050169357322
제이앤티씨,2023,Q4,112813882177.0,5252869007.0,0.04656225728282695
제이앤티씨,2024,Q1,127061594527.0,31758159685.0,0.24994302805047466
제이앤티씨,2024,Q2,65345742375.0,-20865693381.0,-0.3193122095278667
제이앤티씨,2024,Q3,32661740443.0,-25247220463.0,-0.7729906649359506
제이앤티씨,2024,Q4,48170026020.0,-31736277983.0,-0.6588387137225798
제이앤티씨,2025,Q1,48048658420.0,-14167684971.0,-0.2948611977291498
제이앤티씨,2025,Q2,56085163295.0,-23845215982.0,-0.42516085504784124
제이앤티씨,2025,Q3,39097163083.0,-17925640251.0,-0.4584895383060241
제이앤티씨,2025,Q4,42422176358.0,-22055804094.0,-0.519912130576976
제이앤티씨,2026,Q1,39979112644.0,-11431557304.0,-0.28593824494790604
레인보우로보틱스,2023,Q1,3058153400.0,-23427232208.0,-7.660581123236002
레인보우로보틱스,2023,Q2,3849928148.0,164234859.0,0.04265920107764048
레인보우로보틱스,2023,Q3,3616641058.0,518320163.0,0.143315345561727
레인보우로보틱스,2023,Q4,4733412266.0,-21845101196.0,-4.615085263735192
레인보우로보틱스,2024,Q1,3048363807.0,-449692740.0,-0.14751938038608264
레인보우로보틱스,2024,Q2,3177346487.0,-2549333429.0,-0.8023466875364418
레인보우로보틱스,2024,Q3,3469910505.0,-1020829039.0,-0.2941946305326973
레인보우로보틱스,2024,Q4,9651159288.0,1040875444.0,0.10784978394193508
레인보우로보틱스,2025,Q1,4184771298.0,-1403140484.0,-0.33529681411038964
레인보우로보틱스,2025,Q2,6223476913.0,-2057342968.0,-0.33057774564929926
레인보우로보틱스,2025,Q3,10694822851.0,-719767639.0,-0.06730056673474488
레인보우로보틱스,2025,Q4,13020038992.0,1699984973.0,0.13056681120882468
레인보우로보틱스,2026,Q1,9062504268.0,-1567079346.0,-0.17291901881176583
기가비스,2025,Q3,7225894009.0,866413774.0,0.11990402473671269
기가비스,2025,Q4,31706777464.0,11129062447.0,0.35099948140854054
기가비스,2026,Q1,5988316933.0,-970610832.0,-0.16208407852483983
두산테스나,2024,Q1,91777358192.0,11248634517.0,0.12256437468452339
두산테스나,2024,Q2,99808849916.0,16772867580.0,0.16804990333137984
두산테스나,2024,Q3,98702327992.0,11049022019.0,0.11194287149838597
두산테스나,2024,Q4,82829393900.0,-1147242116.0,-0.013850664142068533
파두,2023,Q3,320810077.0,-14821350661.0,-46.19976653975243
파두,2023,Q4,4426840029.0,-24159195132.0,-5.457435772183852
파두,2024,Q1,2331858573.0,-16228684139.0,-6.959549059667608
파두,2024,Q2,7092515833.0,-22184506699.0,-3.127875527013998
파두,2024,Q3,10094870626.0,,
파두,2024,Q4,23983499942.0,,
파두,2025,Q1,19218938606.0,,
파두,2025,Q2,23679326011.0,,
파두,2025,Q3,25644431133.0,,
파두,2025,Q4,23876637483.0,,
파두,2026,Q1,59538451703.0,7685802062.0,0.12908972004075026
예스티,2023,Q1,14809903259.0,-1227591145.0,-0.0828898827717859
예스티,2023,Q2,20403237105.0,-672183562.0,-0.03294494685038362
예스티,2023,Q3,17639232425.0,540573572.0,0.03064609383080908
예스티,2023,Q4,26955878429.0,948156643.0,0.035174392312882025
예스티,2024,Q1,23168479155.0,2491364871.0,0.10753251667200336
예스티,2024,Q2,27754586716.0,2821911415.0,0.10167369609482316
예스티,2024,Q3,23325095611.0,4341709347.0,0.18613897320757267
예스티,2024,Q4,25846953709.0,1607309919.0,0.062185661687486564
예스티,2025,Q1,25084833029.0,2217551474.0,0.08840208230353136
예스티,2025,Q2,23767355831.0,2847502470.0,0.11980728905004966
예스티,2025,Q3,18707398744.0,1114486610.0,0.059574643447285684
예스티,2025,Q4,19496259663.0,-2386560570.0,-0.12241120149467513
예스티,2026,Q1,27502256233.0,3062558714.0,0.11135663518127037
주성엔지니어링,2023,Q1,68704739435.0,11592542813.0,0.16872988542467937
주성엔지니어링,2023,Q2,31665170538.0,-8735134050.0,-0.2758593717193894
주성엔지니어링,2023,Q3,86070880475.0,6181322468.0,0.07181665197203851
주성엔지니어링,2023,Q4,98304456212.0,19898731581.0,0.2024194258100272
