종목명,상태,공시일,매출액_당기(억원),매출액_YoY(%),매출액_흑자적자전환_YoY,영업이익_당기(억원),영업이익_YoY(%),영업이익_흑자적자전환_YoY
코스텍시스,ok,20260728.0,53.43,66.9,,11.86,,흑자전환
녹십자웰빙,ok,20260731.0,520.82,33.8,,46.29,9.6,
GC메디아이,ok,20260810.0,515.25,5.86,,39.6,256.22,
동국씨엠,ok,20260724.0,5451.27,8.6,,211.14,,흑자전환
롯데하이마트,ok,20260804.0,5910.96,-0.5,,9.18,-91.3,
한국주철관,code_not_found,,,,,,,
멀티캠퍼스,ok,20260723.0,876.38,3.3,,88.09,0.2,
쎌바이오텍,ok,20260807.0,158.14,32.8,,16.4,28.0,
더즌,ok,20260807.0,150.07,2.7,,36.4,17.1,
삼양패키징,ok,20260804.0,1314.81,9.47,,170.47,21.97,
텔레칩스,ok,20260806.0,591.74,33.6,,31.8,,흑자전환
화승인더,code_not_found,,,,,,,
효성ITX,code_not_found,,,,,,,
이수앱지스,ok,20260806.0,149.29,-34.6,,4.79,-94.9,
메쎄이상,ok,20260807.0,193.83,11.16,,66.43,2.7,
한국석유,code_not_found,,,,,,,
지니언스,ok,20260804.0,131.84,15.4,,25.7,143.1,
KT나스미디어,ok,20260806.0,322.64,22.8,,78.2,200.8,
윈스테크넷,ok,20260730.0,200.36,1.2,,29.51,-30.1,
한독,ok,20260730.0,1371.19,9.44,,26.32,,흑자전환
LG헬로비전,ok,20260806.0,2432.76,-31.3,,29.68,-71.7,
넥써쓰,ok,20260804.0,58.06,-37.8,,-52.91,,적자전환
메쥬,ok,20260729.0,56.68,104.2,,8.75,73.0,
HDC현대EP,ok,20260728.0,3014.12,16.6,,128.33,-4.6,
경보제약,ok,20260731.0,752.22,15.2,,9.3,-61.4,
쇼박스,ok,20260806.0,675.83,257.6,,124.97,,흑자전환
비씨엔씨,ok,20260727.0,272.72,26.4,,16.73,0.2,
라온로보틱스,ok,20260731.0,181.92,33.5,,5.65,-68.2,
토비스,ok,20260729.0,1880.93,13.1,,158.14,-13.7,
KCTC,code_not_found,,,,,,,
현대리바트,ok,20260804.0,3731.33,-9.0,,55.59,9.4,
티앤알바이오팹,ok,20260714.0,95.45,46.0,,,,
현대이지웰,ok,20260804.0,300.68,1.5,,34.83,-47.4,
진흥기업,ok,20260728.0,2202.56,61.05,,5.07,110.72,
도이치모터스,ok,20260727.0,7109.41,8.56,,129.07,-5.99,
현대에버다임,ok,20260730.0,797.17,-6.5,,32.02,14.1,
현대바이오랜드,ok,20260803.0,402.73,16.4,,70.44,27.9,
아로마티카,ok,20260805.0,177.43,38.8,,22.46,102.7,
세아메카닉스,ok,20260728.0,374.49,104.6,,20.41,,흑자전환
