종목명,기준일,수주잔고(억원)
이마트,20260514,598.4
이마트,20251114,291.6
이마트,20250814,432.2
이마트,20250515,652.7
이마트,20241114,387.4
이마트,20240814,551.5
KG스틸,20260515,121.2
KG스틸,20251114,149.6
KG스틸,20250814,136.0
KG스틸,20250515,135.8
KG스틸,20241114,196.6
KG스틸,20240814,354.2
덕산네오룩스,20260515,3364.0
덕산네오룩스,20251113,3092.2
덕산네오룩스,20250814,2637.1
덕산네오룩스,20250515,24.6
한샘,20260514,2373.0
한샘,20251113,2159.9
한샘,20250814,2481.2
한샘,20250514,2617.2
한샘,20241113,2936.4
한샘,20240814,2945.2
세아제강,20260515,993.5
세아제강,20251114,111.2
세아제강,20250814,137.0
세아제강,20250515,220.6
세아제강,20250312,283.1
세아제강,20241114,289.4
세아제강,20240814,393.0
디아이,20260515,2302.6
디아이,20260312,577.5
디아이,20251114,723.7
디아이,20250814,1381.4
디아이,20250515,1744.1
디아이,20241114,612.3
디아이,20240814,633.9
HD현대중공업,20260515,621707.8
HD현대중공업,20251114,450180.5
HD현대중공업,20250814,463442.5
HD현대중공업,20250515,496336.3
HD현대중공업,20250318,469317.7
HD현대중공업,20241114,439574.8
HD현대중공업,20240814,463289.0
LG이노텍,20260514,22933.3
LG이노텍,20251113,23657.0
LG이노텍,20250813,14604.5
LG이노텍,20250515,15260.4
LG이노텍,20241113,24749.0
LG이노텍,20240814,18387.4
STX엔진,20260515,201.0
STX엔진,20251114,148.3
STX엔진,20250814,151.2
STX엔진,20250515,13.3
STX엔진,20241114,112.3
STX엔진,20240814,120.3
HL만도,20260515,9837.3
HL만도,20251114,10622.7
HL만도,20250814,11022.8
HL만도,20250515,11465.9
HL만도,20250318,11905.2
HL만도,20241114,12269.4
HL만도,20240814,12657.5
LG씨엔에스,20260515,40652.0
LG씨엔에스,20260316,39541.3
LG씨엔에스,20251114,37580.3
LG씨엔에스,20250814,39899.4
LG씨엔에스,20250515,35378.1
웹케시,20260515,41.0
웹케시,20260313,7.4
웹케시,20251114,10.9
웹케시,20250814,14.8
웹케시,20250515,16.1
웹케시,20241114,33.6
웹케시,20240814,2.3
HDC랩스,20260515,5895.7
HDC랩스,20251114,4724.9
HDC랩스,20250812,4993.9
HDC랩스,20250515,5601.1
HDC랩스,20241114,4412.6
HDC랩스,20240814,5077.2
AP시스템,20260515,1864.4
AP시스템,20251114,2113.1
AP시스템,20250814,1311.6
AP시스템,20250515,917.8
AP시스템,20241114,1751.7
AP시스템,20240814,1906.3
한화오션,20260513,353744.4
한화오션,20251112,289044.0
한화오션,20250812,274891.3
한화오션,20250513,310401.8
한화오션,20250312,191.4
한화오션,20241113,272888.1
한화오션,20240813,293345.5
CJ,20260515,2387.4
CJ,20260318,2534.0
CJ,20251114,2671.0
CJ,20250814,2708.1
CJ,20250515,2548.3
슈프리마에이치큐,20260513,21.0
슈프리마에이치큐,20251113,23.6
슈프리마에이치큐,20250814,21.3
슈프리마에이치큐,20250515,14.7
슈프리마에이치큐,20241114,14.1
슈프리마에이치큐,20240814,17.2
오리엔탈정공,20260508,3071.7
오리엔탈정공,20260316,3232.8
오리엔탈정공,20251114,2358.2
오리엔탈정공,20250814,2411.6
오리엔탈정공,20250515,2838.2
오리엔탈정공,20241114,3277.2
오리엔탈정공,20240814,2571.7
한국카본,20260514,12044.5
한국카본,20260319,11416.6
한국카본,20251114,12381.2
한국카본,20241114,12579.9
NICE평가정보,20260514,56234.3
NICE평가정보,20260313,6998.9
NICE평가정보,20251113,6998.9
NICE평가정보,20250813,6998.9
NICE평가정보,20250515,6559.7
NICE평가정보,20241114,86.3
NICE평가정보,20240814,89.7
HL홀딩스,20260515,9837.3
HL홀딩스,20251114,10622.7
HL홀딩스,20250814,11022.8
HL홀딩스,20250515,11465.9
HL홀딩스,20241114,12269.4
대양전기공업,20260515,3285.1
대양전기공업,20260323,2987.8
대양전기공업,20251114,2958.2
대양전기공업,20250814,2810.2
대양전기공업,20250515,2937.7
대양전기공업,20250318,2801.8
대양전기공업,20241114,2696.5
대양전기공업,20240814,2563.1
아이티센글로벌,20260514,166.7
